participant,N,fit_frac,acc_mean,acc_se,n_repeats,logistic_matched
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,1,1.0,0.7372372372372372,0.0033010275170853092,6,0.7792792792792793
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,1,0.25,0.734984984984985,0.005659751190139459,6,0.7837837837837838
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,1,0.1,0.6981981981981983,0.004627938440667401,6,0.7567567567567568
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,2,1.0,0.7349849849849849,0.012759082081283842,6,0.7792792792792793
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,2,0.25,0.7319819819819818,0.010389153530854381,6,0.7837837837837838
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,2,0.1,0.6989489489489489,0.019270081752952684,6,0.7567567567567568
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,4,1.0,0.7402402402402403,0.011806933045130577,6,0.7792792792792793
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,4,0.25,0.7237237237237237,0.010275508091915823,6,0.7837837837837838
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,4,0.1,0.7132132132132133,0.008062564411204714,6,0.7567567567567568
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,6,1.0,0.765015015015015,0.003426692677084367,6,0.7792792792792793
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,6,0.25,0.7612612612612613,0.003972599566163043,6,0.7837837837837838
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,6,0.1,0.734984984984985,0.012890924547737267,6,0.7567567567567568
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,8,1.0,0.7657657657657658,0.004748164654907483,6,0.7792792792792793
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,8,0.25,0.7582582582582583,0.005378925240291469,6,0.7837837837837838
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,8,0.1,0.7192192192192192,0.013582849594706629,6,0.7567567567567568
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,12,1.0,0.7747747747747749,0.0031851656810204907,2,0.7792792792792793
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,12,0.25,0.7657657657657657,0.009555497043061472,2,0.7837837837837838
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,12,0.1,0.7274774774774775,0.014333245564592189,2,0.7567567567567568
32FC87F1C127480BA90BCC97640655_cleaned.json,1,1.0,0.8073394495412844,0.010538263571934426,6,0.8256880733944955
32FC87F1C127480BA90BCC97640655_cleaned.json,1,0.25,0.7928134556574924,0.011048216252265737,6,0.8211009174311926
32FC87F1C127480BA90BCC97640655_cleaned.json,1,0.1,0.7928134556574924,0.009755823008435768,6,0.7935779816513762
32FC87F1C127480BA90BCC97640655_cleaned.json,2,1.0,0.8149847094801222,0.0068095765626337386,6,0.8256880733944955
32FC87F1C127480BA90BCC97640655_cleaned.json,2,0.25,0.79434250764526,0.008263720880270628,6,0.8211009174311926
32FC87F1C127480BA90BCC97640655_cleaned.json,2,0.1,0.7928134556574924,0.006958166636837949,6,0.7935779816513762
32FC87F1C127480BA90BCC97640655_cleaned.json,4,1.0,0.8180428134556575,0.008694557649965337,6,0.8256880733944955
32FC87F1C127480BA90BCC97640655_cleaned.json,4,0.25,0.801223241590214,0.009088967635130993,6,0.8211009174311926
32FC87F1C127480BA90BCC97640655_cleaned.json,4,0.1,0.8058103975535168,0.006084269310047562,6,0.7935779816513762
32FC87F1C127480BA90BCC97640655_cleaned.json,6,1.0,0.8241590214067278,0.0035311943069701846,6,0.8256880733944955
32FC87F1C127480BA90BCC97640655_cleaned.json,6,0.25,0.8042813455657494,0.007619733123203898,6,0.8211009174311926
32FC87F1C127480BA90BCC97640655_cleaned.json,6,0.1,0.7966360856269113,0.005987431256101293,6,0.7935779816513762
32FC87F1C127480BA90BCC97640655_cleaned.json,8,1.0,0.8119266055045871,0.00445791429269519,6,0.8256880733944955
32FC87F1C127480BA90BCC97640655_cleaned.json,8,0.25,0.7928134556574923,0.005962976022832621,6,0.8211009174311926
32FC87F1C127480BA90BCC97640655_cleaned.json,8,0.1,0.7813455657492355,0.00889394921845828,6,0.7935779816513762
32FC87F1C127480BA90BCC97640655_cleaned.json,12,1.0,0.8211009174311927,0.009730827264035038,2,0.8256880733944955
32FC87F1C127480BA90BCC97640655_cleaned.json,12,0.25,0.7958715596330275,0.01135263180804091,2,0.8211009174311926
