participant,N,fit_frac,acc_mean,acc_se,n_repeats,logistic_matched
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,1,1.0,0.722972972972973,0.01433324556459215,2,0.7792792792792793
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,1,0.25,0.740990990990991,0.0015925828405102258,2,0.7837837837837838
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,1,0.1,0.704954954954955,0.004777748521530716,2,0.7567567567567568
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,2,1.0,0.7477477477477478,0.0,2,0.7792792792792793
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,2,0.25,0.7342342342342343,0.0031851656810204907,2,0.7837837837837838
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,2,0.1,0.713963963963964,0.014333245564592189,2,0.7567567567567568
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,4,1.0,0.75,0.0015925828405102258,2,0.7792792792792793
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,4,0.25,0.7274774774774775,0.0015925828405102258,2,0.7837837837837838
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,4,0.1,0.7274774774774775,0.004777748521530756,2,0.7567567567567568
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,6,1.0,0.740990990990991,0.007962914202551208,2,0.7792792792792793
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,6,0.25,0.713963963963964,0.014333245564592189,2,0.7837837837837838
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,6,0.1,0.6981981981981982,0.0031851656810204907,2,0.7567567567567568
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,8,1.0,0.75,0.0015925828405102258,2,0.7792792792792793
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,8,0.25,0.704954954954955,0.0015925828405102258,2,0.7837837837837838
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,8,0.1,0.6959459459459459,0.004777748521530756,2,0.7567567567567568
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,12,1.0,0.7387387387387387,0.0,1,0.7792792792792793
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,12,0.25,0.7252252252252253,0.0,1,0.7837837837837838
96CA2FB7709946BB8EB38CAB5B713E_cleaned.json,12,0.1,0.7207207207207207,0.0,1,0.7567567567567568
32FC87F1C127480BA90BCC97640655_cleaned.json,1,1.0,0.8211009174311926,0.012974436352046743,2,0.8256880733944955
32FC87F1C127480BA90BCC97640655_cleaned.json,1,0.25,0.786697247706422,0.017839849984064283,2,0.8211009174311926
32FC87F1C127480BA90BCC97640655_cleaned.json,1,0.1,0.7889908256880734,0.012974436352046743,2,0.7935779816513762
32FC87F1C127480BA90BCC97640655_cleaned.json,2,1.0,0.8394495412844036,0.0032436090880117053,2,0.8256880733944955
